Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,,,
Joy Diaz,Female,Latino (Mexican),,,No,No,Texas,03-01-2022,Governor,N/A,"33,622",3%,,,
Beto O'Rourke,Male,White,,,No,No,Texas,03-01-2022,Governor,N/A,"9,83,182",91%,,,
Rich Wakeland,Male,White,,,No,No,Texas,03-01-2022,Governor,N/A,"13,237",1%,,,
Thomas M. McDermott Jr.,Male,White,,,No,No,Indiana,05-03-2022,Senator,N/A,"1,73,466",100%,,,
Richard E. Fantin,Male,Unknown,,,No,Yes,Indiana,05-03-2022,Representative,1,"5,413",14%,,,
Frank J. Mrvan,Male,White,,,Yes,No,Indiana,05-03-2022,Representative,1,"34,489",86%,,,
Paul D. Steury,Male,White,,,No,No,Indiana,05-03-2022,Representative,2,"11,708",100%,,,
Phillip Beachy,Male,White,,,No,No,Indiana,05-03-2022,Representative,3,"2,400",20%,,,
"Aaron ""A.J."" Calkins",Male,White,,,No,No,Indiana,05-03-2022,Representative,3,"2,894",24%,,,
Gary L. Snyder,Male,White,,,No,No,Indiana,05-03-2022,Representative,3,"6,794",56%,,,
Roger D. Day,Male,White,,,No,No,Indiana,05-03-2022,Representative,4,"5,680",68%,,,
Howard J. Pollchik,Male,White,,,No,No,Indiana,05-03-2022,Representative,4,"2,648",32%,,,
Matthew L. Hall,Male,White,,,No,No,Indiana,05-03-2022,Representative,5,"6,799",40%,,,
Jeannine Lee Lake,Female,Black,,,No,No,Indiana,05-03-2022,Representative,5,"10,192",60%,,,
George Thomas Holland,Male,White,,,No,No,Indiana,05-03-2022,Representative,6,"3,337",27%,,,
"Cynthia ""Cinde"" Wirth",Female,White,,,No,No,Indiana,05-03-2022,Representative,6,"9,057",73%,,,
André D. Carson,Male,Black,,,Yes,No,Indiana,05-03-2022,Representative,7,"36,242",94%,,,
Curtis D. Godfrey,Male,Black,,,No,Yes,Indiana,05-03-2022,Representative,7,"1,526",4%,,,
Pierre Quincy Pullins,Male,Black,,,No,Yes,Indiana,05-03-2022,Representative,7,830,2%,,,
Adnan H. Dhahir,Male,White,Middle Eastern (Iraqi),,No,No,Indiana,05-03-2022,Representative,8,"4,429",19%,,,
Ray McCormick,Male,White,,,No,No,Indiana,05-03-2022,Representative,8,"16,465",70%,,,
Peter F.H. Priest II,Male,White,,,No,No,Indiana,05-03-2022,Representative,8,"2,731",12%,,,
Isak Asare,Male,Black,,,No,No,Indiana,05-03-2022,Representative,9,"6,305",29%,,,
D. Liam Dorris,Male,White,,,No,No,Indiana,05-03-2022,Representative,9,"3,023",14%,,,
Matthew Fyfe,Male,White,,,No,No,Indiana,05-03-2022,Representative,9,"12,240",57%,,,
Morgan Harper,Female,Black,,,No,No,Ohio,05-03-2022,Senator,N/A,"92,347",18%,,,
"Traci ""TJ"" Johnson",Female,Black,,,No,No,Ohio,05-03-2022,Senator,N/A,"65,209",13%,,,
Tim Ryan,Male,White,,,No,No,Ohio,05-03-2022,Senator,N/A,"3,59,941",70%,,,
Greg Landsman,Male,White,,,No,No,Ohio,05-03-2022,Representative,1,"28,330",100%,,,
Alan Darnowsky,Male,White,,,No,No,Ohio,05-03-2022,Representative,2,"4,541",28%,,,
Samantha Meadows,Female,White ,,,No,No,Ohio,05-03-2022,Representative,2,"11,694",72%,,,
Joyce Beatty,Female,Black,,,Yes,No,Ohio,05-03-2022,Representative,3,"48,241",100%,,,
Jeffrey A. Sites,Male,White,,,No,No,Ohio,05-03-2022,Representative,4,"10,160",48%,,,
