Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,,,
Catherine Cortez Masto,Female,White,Latino (Mexican),,Yes,No,Nevada,6/14/22,Senator,N/A,"1,59,694",91%,,,
Stephanie Kasheta,Female,White,,,No,Yes,Nevada,6/14/22,Senator,N/A,"3,487",2%,,,
Corey Reid,Male,White,,,No,Yes,Nevada,6/14/22,Senator,N/A,"4,491",3%,,,
Allen Rheinhart,Male,Black,,,No,Yes,Nevada,6/14/22,Senator,N/A,"3,852",2%,,,
Dina Titus,Female,White,,,Yes,No,Nevada,6/14/22,Representative,1,"33,565",80%,,,
Amy Vilela,Female,White,,,No,Yes,Nevada,6/14/22,Representative,1,"8,482",20%,,,
Joseph Edward Afzal,Male,White,Native American (Pomo),,No,No,Nevada,6/14/22,Representative,2,"3,117",7%,,,
Michael Doucette,Male,White,,,No,No,Nevada,6/14/22,Representative,2,"5,478",12%,,,
Gerold Lee Gorman,Male,White,,,No,No,Nevada,6/14/22,Representative,2,"1,034",2%,,,
Tim Hanifan,Male,White,,,No,No,Nevada,6/14/22,Representative,2,"6,440",14%,,,
Brian J. Hansen,Male,White,,,No,No,Nevada,6/14/22,Representative,2,"3,276",7%,,,
Rahul A. Joshi,Male,Asian,,,No,No,Nevada,6/14/22,Representative,2,"3,613",8%,,,
Elizabeth Mercedes Krause,Female,Native American (Lakota),,,No,No,Nevada,6/14/22,Representative,2,"22,072",49%,,,
"Randell ""Randy"" Hynes",Male,White,,,No,Yes,Nevada,6/14/22,Representative,3,"4,265",10%,,,
Susie Lee,Female,White,,,Yes,No,Nevada,6/14/22,Representative,3,"37,069",90%,,,
Steven A. Horsford,Male,Black,,,Yes,No,Nevada,6/14/22,Representative,4,1,100%,,,
Tom Collins,Male,White,,,No,Yes,Nevada,6/14/22,Governor,N/A,"12,051",7%,,,
Steve Sisolak,Male,White,,,Yes,No,Nevada,6/14/22,Governor,N/A,"1,57,283",90%,,,
Catherine Fleming Bruce,Female,Black,,,No,No,South Carolina,6/14/22,Senator,N/A,"59,777",35%,,,
Angela Geter,Female,Black,,,No,No,South Carolina,6/14/22,Senator,N/A,"55,281",32%,,,
Krystle Matthews,Female,Black,,,No,No,South Carolina,6/14/22,Senator,N/A,"57,278",33%,,,
Annie Andrews,Female,White,,,No,No,South Carolina,6/14/22,Representative,1,1,100%,,,
Judd Larkins,Male,White,,,No,No,South Carolina,6/14/22,Representative,2,1,100%,,,
Ken Hill,Male,White,,,No,No,South Carolina,6/14/22,Representative,4,1,100%,,,
Kevin Eckert,Male,White,,,No,No,South Carolina,6/14/22,Representative,5,"8,274",42%,,,
Evangeline Hundley,Female,Black,,,No,No,South Carolina,6/14/22,Representative,5,"11,257",58%,,,
Michael Addison,Male,Black,,,No,Yes,South Carolina,6/14/22,Representative,6,"4,203",8%,,,
"James E. ""Jim"" Clyburn",Male,Black,,,Yes,No,South Carolina,6/14/22,Representative,6,"48,729",88%,,,
"Gregg ""Marcel"" Dixon",Male,Black,,,No,Yes,South Carolina,6/14/22,Representative,6,"2,503",5%,,,
Daryl W. Scott,Male,Black,,,No,No,South Carolina,6/14/22,Representative,7,1,100%,,,
Carlton Boyd,Male,Black,,,No,No,South Carolina,6/14/22,Governor,N/A,"9,579",5%,,,
Joe Cunningham,Male,White,,,No,No,South Carolina,6/14/22,Governor,N/A,"1,02,473",56%,,,
Mia S. McLeod,Female,Black,,,No,No,South Carolina,6/14/22,Governor,N/A,"56,406",31%,,,
"Calvin ""C.J. Mack"" McMillan",Male,Black,,,No,No,South Carolina,6/14/22,Governor,N/A,"6,303",3%,,,
William H. Williams,Male,Black,,,No,No,South Carolina,6/14/22,Governor,N/A,"6,829",4%,,,
Katrina Christiansen,Female,White,,,No,No,North Dakota,6/14/22,Senator,N/A,"17,187",77%,,,
Michael J. Steele,Male,White,,,No,No,North Dakota,6/14/22,Senator,N/A,"5,174",23%,,,
Mark Haugen,Male,White,,,No,No,North Dakota,6/14/22,Representative,At-Large,"21,897",100%,,,
"Herbert C. ""Herb"" Jones Jr.",Male,Black,,,No,No,Virginia,6/21/22,Representative,1,1,100%,,,
Elaine G. Luria,Female,White,,,Yes,No,Virginia,6/21/22,Representative,2,1,100%,,,
"Robert C. ""Bobby"" Scott",Male,Black,,,Yes,No,Virginia,6/21/22,Representative,3,1,100%,,,
A. Donald McEachin,Male,Black,,,Yes,No,Virginia,6/21/22,Representative,4,1,100%,,,
Joshua M. Throneburg,Male,White,,,No,No,Virginia,6/21/22,Representative,5,1,100%,,,
Abigail A. Spanberger,Female,White,,,Yes,No,Virginia,6/21/22,Representative,7,1,100%,,,
Donald S. Beyer Jr.,Male,White,,,Yes,No,Virginia,6/21/22,Representative,8,"39,062",77%,,,
Victoria I. Virasingh,Female,Latino (Ecuadorian),Asian (Indian),,No,Yes,Virginia,6/21/22,Representative,8,"11,583",23%,,,
Jennifer T. Wexton,Female,White,,,Yes,No,Virginia,6/21/22,Representative,10,1,100%,,,
"Gerald E. ""Gerry"" Connolly",Male,White,,,Yes,No,Virginia,6/21/22,Representative,11,1,100%,,,
Michael Bennet,Male,Unknown,,,Yes,No,Colorado,6/28/22,Senator,N/A,1,100%,,,
Diana DeGette,Female,White,,,Yes,No,Colorado,6/28/22,Representative,1,"79,391",81%,,,
Neal Walia,Male,Asian (Indian),,,No,Yes,Colorado,6/28/22,Representative,1,"18,472",19%,,,
Joe Neguse,Male,Black,,,Yes,No,Colorado,6/28/22,Representative,2,1,100%,,,
Soledad Sandoval Tafoya,Female,Latino,,,No,No,Colorado,6/28/22,Representative,3,"25,462",42%,,,
Alex Walker,Male,White,,,No,No,Colorado,6/28/22,Representative,3,"9,504",16%,,,
Adam Frisch,Male,White,,,No,No,Colorado,6/28/22,Representative,3,"25,751",42%,,,
Ike McCorkle,Male,White,,,No,No,Colorado,6/28/22,Representative,4,1,100%,,,
David Torres,Male,Latino (Puerto Rican),,,No,No,Colorado,6/28/22,Representative,5,"24,413",55%,,,
Michael C. Colombe,Male,White,,,No,No,Colorado,6/28/22,Representative,5,"20,237",45%,,,
Jason Crow,Male,White,,,Yes,No,Colorado,6/28/22,Representative,6,1,100%,,,
Brittany Pettersen,Female,White,,,No,No,Colorado,6/28/22,Representative,7,1,100%,,,
Yadira Caraveo,Female,Latino (Mexican),,,No,No,Colorado,6/28/22,Representative,8,1,100%,,,
Jared Polis,Male,White,,,Yes,No,Colorado,6/28/22,Governor,N/A,1,100%,,,
Tammy Duckworth,Female,Asian (Thai),White,,Yes,No,Illinois,6/28/22,Senator,N/A,1,100%,,,
"Jacqueline ""Jacqui"" Collins",Female,Black,,,No,No,Illinois,6/28/22,Representative,1,"9,299",12%,,,
Pat Dowell,Female,Black,,,No,No,Illinois,6/28/22,Representative,1,"14,594",19%,,,
Cassandra Goodrum,Female,Black,,,No,No,Illinois,6/28/22,Representative,1,"1,422",2%,,,
Jonathan L. Jackson,Male,Black,,,No,No,Illinois,6/28/22,Representative,1,"21,607",28%,,,
Michael A. Thompson Jr.,Male,Black,,,No,No,Illinois,6/28/22,Representative,1,"1,680",2%,,,
Jahmal Cole,Male,Black,,,No,No,Illinois,6/28/22,Representative,1,"4,045",5%,,,
Karin Norington-Reaves,Female,Black,,,No,No,Illinois,6/28/22,Representative,1,"10,825",14%,,,
Chris Butler,Male,Black,,,No,No,Illinois,6/28/22,Representative,1,"4,141",5%,,,
Marcus Lewis,Male,Black,,,No,No,Illinois,6/28/22,Representative,1,901,1%,,,
Terre Layng Rosner,Female,White,,,No,No,Illinois,6/28/22,Representative,1,780,1%,,,
Robert A. Palmer,Male,Black,,,No,No,Illinois,6/28/22,Representative,1,899,1%,,,
Kirby Birgans,Male,Black,,,No,No,Illinois,6/28/22,Representative,1,511,1%,,,
Steve DeJoie,Male,Black,,,No,No,Illinois,6/28/22,Representative,1,251,0%,,,
Ameena Matthews,Female,Black,,,No,No,Illinois,6/28/22,Representative,1,686,1%,,,
Charise A. Williams,Female,Black,,,No,No,Illinois,6/28/22,Representative,1,"1,601",2%,,,
Jonathan T. Swain,Male,Black,,,No,No,Illinois,6/28/22,Representative,1,"2,554",3%,,,
Nykea Pippion McGriff,Female,Black,,,No,No,Illinois,6/28/22,Representative,1,892,1%,,,
Robin Kelly,Female,Black,,,Yes,No,Illinois,6/28/22,Representative,2,1,100%,,,
Delia Ramirez,Female,Latino (Guatemalan),,,No,No,Illinois,6/28/22,Representative,3,"37,296",66%,,,
"Gilbert ""Gil"" Villegas",Male,Latino,,,No,No,Illinois,6/28/22,Representative,3,"12,990",23%,,,
Juan Enrique Aguirre,Male,Latino,,,No,No,Illinois,6/28/22,Representative,3,"2,175",4%,,,
Iymen H. Chehade,Male,Middle Eastern (Palestinian),,,No,No,Illinois,6/28/22,Representative,3,"3,719",7%,,,
"Jesus ""Chuy"" Garcia",Male,Latino (Mexican),,,Yes,No,Illinois,6/28/22,Representative,4,1,100%,,,
Mike Quigley,Male,White,,,Yes,No,Illinois,6/28/22,Representative,5,1,100%,,,
Marie Newman,Female,White,,,Yes,Yes,Illinois,6/28/22,Representative,6,"19,726",29%,,,
Sean Casten,Male,White,,,Yes,Yes,Illinois,6/28/22,Representative,6,"45,654",68%,,,
Charles M. Hughes,Male,White,,,No,Yes,Illinois,6/28/22,Representative,6,"2,085",3%,,,
Danny K. Davis,Male,Black,,,Yes,No,Illinois,6/28/22,Representative,7,"39,320",52%,,,
Kina Collins,Female,Black,,,No,Yes,Illinois,6/28/22,Representative,7,"34,574",46%,,,
Denarvis C. Mendenhall,Male,Black,,,No,Yes,Illinois,6/28/22,Representative,7,"1,808",2%,,,
Junaid Ahmed,Male,Asian,,,No,Yes,Illinois,6/28/22,Representative,8,"12,627",30%,,,
Raja Krishnamoorthi,Male,Asian (Indian),,,Yes,No,Illinois,6/28/22,Representative,8,"29,933",70%,,,
Janice D. Schakowsky,Female,White,,,Yes,No,Illinois,6/28/22,Representative,9,1,100%,,,
Brad Schneider,Male,White,,,Yes,No,Illinois,6/28/22,Representative,10,1,100%,,,
Bill Foster,Male,White,,,Yes,No,Illinois,6/28/22,Representative,11,1,100%,,,
"Homer ""Chip"" Markel",Male,White,,,No,No,Illinois,6/28/22,Representative,12,"11,068",57%,,,
Joshua Qualls,Male,White,,,No,No,Illinois,6/28/22,Representative,12,"8,438",43%,,,
Nikki Budzinski,Female,White,,,No,No,Illinois,6/28/22,Representative,13,"31,593",76%,,,
David Palmer,Male,Black,,,No,No,Illinois,6/28/22,Representative,13,"10,216",24%,,,
Lauren Underwood,Female,Black,,,Yes,No,Illinois,6/28/22,Representative,14,1,100%,,,
Paul J. Lange,Male,White,,,No,No,Illinois,6/28/22,Representative,15,1,100%,,,
Litesa Wallace,Female,Black,,,No,No,Illinois,6/28/22,Representative,17,"9,103",23%,,,
Eric Sorensen,Male,White,,,No,No,Illinois,6/28/22,Representative,17,"14,702",38%,,,
Angie Normoyle,Female,White,,,No,No,Illinois,6/28/22,Representative,17,"4,818",12%,,,
Marsha Williams,Female,White,,,No,No,Illinois,6/28/22,Representative,17,"2,701",7%,,,
Jonathan Klarer Logemann,Male,White,,,No,No,Illinois,6/28/22,Representative,17,"5,628",14%,,,
Jacqueline McGowan,Female,White,,,No,No,Illinois,6/28/22,Representative,17,"2,040",5%,,,
J.B. Pritzker,Male,White,,,Yes,No,Illinois,6/28/22,Governor,N/A,"8,10,989",92%,,,
Beverly Miles,Female,Black,,,No,Yes,Illinois,6/28/22,Governor,N/A,"71,704",8%,,,
Charles E. Schumer,Male,White,,,Yes,No,New York,6/28/22,Senator,N/A,1,100%,,,
Kathy C. Hochul,Female,White,,,Yes,No,New York,6/28/22,Governor,N/A,"6,07,928",67%,,,
Thomas R. Suozzi,Male,White,,,No,Yes,New York,6/28/22,Governor,N/A,"1,16,972",13%,,,
Jumaane D. Williams,Male,Black,,,No,Yes,New York,6/28/22,Governor,N/A,"1,73,872",19%,,,
Jason Bollinger,Male,White,,,No,No,Oklahoma,6/28/22,Senator,N/A,"27,374",17%,,,
Madison Horn,Female,Native American (Cherokee),White,,No,No,Oklahoma,6/28/22,Senator,N/A,"60,691",37%,,,
Arya Azma,Male,Middle Eastern (Iranian),,,No,No,Oklahoma,6/28/22,Senator,N/A,"11,478",7%,,,
Brandon Wade,Male,White,,,No,No,Oklahoma,6/28/22,Senator,N/A,"19,986",12%,,,
Dennis L. Baker,Male,Native American (Creek / Yuchi),,,No,No,Oklahoma,6/28/22,Senator,N/A,"22,467",14%,,,
Jo Glenn,Female,White,,,No,No,Oklahoma,6/28/22,Senator,N/A,"21,198",13%,,,
Kendra Horn,Female,White,,,No,No,Oklahoma,6/28/22,Senator (unexpired term),N/A,1,100%,,,
Adam Martin,Male,Black,,,No,No,Oklahoma,6/28/22,Representative,1,1,100%,,,
Naomi Andrews,Female,White,,,No,No,Oklahoma,6/28/22,Representative,2,1,100%,,,
Jeremiah A. Ross,Male,White,,,No,No,Oklahoma,6/28/22,Representative,3,1,100%,,,
Mary Brannon,Female,White,,,No,No,Oklahoma,6/28/22,Representative,4,1,100%,,,
Joshua Harris-Till,Male,Black,,,No,No,Oklahoma,6/28/22,Representative,5,1,100%,,,
Connie Johnson,Female,Black,,,No,No,Oklahoma,6/28/22,Governor,N/A,"65,894",39%,,,
Joy Hofmeister,Female,White,,,No,No,Oklahoma,6/28/22,Governor,N/A,"1,01,913",61%,,,
Rick Edwin Jones,Male,White,,,No,No,Utah,6/28/22,Representative,1,1,100%,,,
Nick Mitchell,Male,Black,,,No,No,Utah,6/28/22,Representative,2,1,100%,,,
Glenn J. Wright,Male,White,,,No,No,Utah,6/28/22,Representative,3,1,100%,,,
Darlene McDonald,Female,Black,,,No,No,Utah,6/28/22,Representative,4,1,100%,,,
Michelle L. Smith,Female,Black,,,No,Yes,Maryland,7/19/22,Senator,N/A,"1,27,089",19%,,,
Chris Van Hollen,Male,White,,,Yes,No,Maryland,7/19/22,Senator,N/A,"5,35,014",81%,,,
R. David Harden,Male,White,,,No,No,Maryland,7/19/22,Representative,1,"15,683",31%,,,
Heather R. Mizeur,Female,White,,,No,No,Maryland,7/19/22,Representative,1,"34,549",69%,,,
George Croom,Male,Black,,,No,Yes,Maryland,7/19/22,Representative,2,"8,465",10%,,,
Marques Dent,Male,Black,,,No,Yes,Maryland,7/19/22,Representative,2,"7,728",9%,,,
Liri Fusha,Female,White (Albanian),,,No,Yes,Maryland,7/19/22,Representative,2,"4,218",5%,,,
C.A. Dutch Ruppersberger,Male,White,,,Yes,No,Maryland,7/19/22,Representative,2,"62,896",75%,,,
Ben R. Beardsley,Male,White,,,No,Yes,Maryland,7/19/22,Representative,3,"6,854",9%,,,
Jake Pretot,Male,White,,,No,Yes,Maryland,7/19/22,Representative,3,"4,728",6%,,,
John Sarbanes,Male,White,,,Yes,No,Maryland,7/19/22,Representative,3,"63,790",85%,,,
Tammy Allison,Female,Black,,,No,No,Maryland,7/19/22,Representative,4,"1,726",2%,,,
Angela M. Angel,Female,Black,,,No,No,Maryland,7/19/22,Representative,4,"4,678",6%,,,
"James Levi Curtis, Jr.",Male,Black,,,No,No,Maryland,7/19/22,Representative,4,763,1%,,,
Donna F. Edwards,Female,Black,,,No,No,Maryland,7/19/22,Representative,4,"29,114",35%,,,
Matthew F. Fogg,Male,Black,,,No,No,Maryland,7/19/22,Representative,4,663,1%,,,
Gregory Holmes,Male,Black,,,No,No,Maryland,7/19/22,Representative,4,"1,024",1%,,,
Glenn F. Ivey,Male,Black,,,No,No,Maryland,7/19/22,Representative,4,"42,791",52%,,,
Robert K. McGhee,Male,Unknown,,,No,No,Maryland,7/19/22,Representative,4,549,1%,,,
Kim A. Shelton,Female,Black,,,No,No,Maryland,7/19/22,Representative,4,"1,354",2%,,,
Steny Hoyer,Male,White,,,Yes,No,Maryland,7/19/22,Representative,5,"68,729",71%,,,
Keith Washington,Male,Black,,,No,Yes,Maryland,7/19/22,Representative,5,"9,222",10%,,,
McKayla Wilkes,Female,Black,,,No,Yes,Maryland,7/19/22,Representative,5,"18,403",19%,,,
George Gluck,Male,White,,,No,Yes,Maryland,7/19/22,Representative,6,"2,789",5%,,,
Ben Smilowitz,Male,White,,,No,Yes,Maryland,7/19/22,Representative,6,"8,995",16%,,,
David J. Trone,Male,White,,,Yes,No,Maryland,7/19/22,Representative,6,"44,370",79%,,,
Tashi Kimandus Davis,Male,Black,,,No,Yes,Maryland,7/19/22,Representative,7,"7,141",8%,,,
Elihu Eli El,Male,Black,,,No,Yes,Maryland,7/19/22,Representative,7,"1,885",2%,,,
Kweisi Mfume,Male,Black,,,Yes,No,Maryland,7/19/22,Representative,7,"80,118",85%,,,
"Wayne ""For Freedom"" McNeal",Male,Black,,,No,Yes,Maryland,7/19/22,Representative,7,"4,890",5%,,,
Andalib Odulate,Male,Black,,,No,Yes,Maryland,7/19/22,Representative,8,"7,075",6%,,,
Jamie Raskin,Male,White,,,Yes,No,Maryland,7/19/22,Representative,8,"1,09,055",94%,,,
Rushern L. Baker III,Male,Black,,,No,No,Maryland,7/19/22,Governor,N/A,"26,594",4%,,,
Jon Baron,Male,White,,,No,No,Maryland,7/19/22,Governor,N/A,"11,880",2%,,,
Peter Franchot,Male,White,,,No,No,Maryland,7/19/22,Governor,N/A,"1,41,586",21%,,,
Douglas F. Gansler,Male,White,,,No,No,Maryland,7/19/22,Governor,N/A,"25,481",4%,,,
Ralph W. Jaffe,Male,White,,,No,No,Maryland,7/19/22,Governor,N/A,"2,978",0%,,,
Ashwani Jain,Male,Asian (Indian),,,No,No,Maryland,7/19/22,Governor,N/A,"13,784",2%,,,
John King,Male,Black,Latino,,No,No,Maryland,7/19/22,Governor,N/A,"24,882",4%,,,
Wes Moore,Male,Black,,,No,No,Maryland,7/19/22,Governor,N/A,"2,17,524",32%,,,
Tom Perez,Male,Latino (Dominican),,,No,No,Maryland,7/19/22,Governor,N/A,"2,02,175",30%,,,
Jerome M. Segal,Male,White,,,No,No,Maryland,7/19/22,Governor,N/A,"4,276",1%,,,
Mark Kelly,Male,White,,,Yes,No,Arizona,08-02-2022,Senator,N/A,"5,89,400",100%,,,
Jevin D. Hodge,Male,Black,,,No,No,Arizona,08-02-2022,Representative,1,"46,144",62%,,,
Adam Metzendorf,Male,White,,,No,No,Arizona,08-02-2022,Representative,1,"28,267",38%,,,
Tom O'Halleran,Male,White,,,Yes,No,Arizona,08-02-2022,Representative,2,"71,391",100%,,,
Ruben Gallego,Male,Latino,,,Yes,No,Arizona,08-02-2022,Representative,3,"47,972",100%,,,
Greg Stanton,Male,White,,,Yes,No,Arizona,08-02-2022,Representative,4,"61,319",100%,,,
Javier Garcia Ramos,Male,Latino,,,No,No,Arizona,08-02-2022,Representative,5,"50,647",100%,,,
Avery Anderson,Male,White,,,No,No,Arizona,08-02-2022,Representative,6,"5,639",6%,,,
Kirsten Engel,Female,White,,,No,No,Arizona,08-02-2022,Representative,6,"54,060",59%,,,
Daniel Hernandez,Male,Latino (Mexican),,,No,No,Arizona,08-02-2022,Representative,6,"31,815",35%,,,
Raúl Grijalva,Male,Latino (Mexican),,,Yes,No,Arizona,08-02-2022,Representative,7,"62,547",100%,,,
Katie Hobbs,Female,White,,,No,No,Arizona,08-02-2022,Governor,N/A,"4,31,059",72%,,,
Aaron Lieberman,Male,White,,,No,No,Arizona,08-02-2022,Governor,N/A,"28,878",5%,,,
Marco Lopez,Male,Latino (Mexican),,,No,No,Arizona,08-02-2022,Governor,N/A,"1,36,090",23%,,,
Mike Andra,Male,Unknown,,,No,No,Kansas,08-02-2022,Senator,N/A,"33,464",13%,,,
Paul Buskirk,Male,White,,,No,No,Kansas,08-02-2022,Senator,N/A,"53,750",20%,,,
Mark R. Holland,Male,White,,,No,No,Kansas,08-02-2022,Senator,N/A,"1,01,429",38%,,,
Robert Klingenberg,Male,Latino (Mexican),,,No,No,Kansas,08-02-2022,Senator,N/A,"21,413",8%,,,
Michael Soetaert,Male,White (Belgian),,,No,No,Kansas,08-02-2022,Senator,N/A,"9,464",4%,,,
Patrick Wiesner,Male,White,,,No,No,Kansas,08-02-2022,Senator,N/A,"47,034",18%,,,
"James ""Jimmy"" Beard",Male,White,,,No,No,Kansas,08-02-2022,Representative,1,"42,589",100%,,,
Patrick Schmidt,Male,White,,,No,No,Kansas,08-02-2022,Representative,2,"54,439",100%,,,
Sharice Davids,Female,Native American (Ho-Chunk),,,Yes,No,Kansas,08-02-2022,Representative,3,"1,03,945",100%,,,
Bob Hernandez,Male,Latino,,,No,No,Kansas,08-02-2022,Representative,4,"42,222",100%,,,
Richard S. Karnowski,Male,White,,,No,Yes,Kansas,08-02-2022,Governor,N/A,"17,802",6%,,,
Laura Kelly,Female,White,,,Yes,No,Kansas,08-02-2022,Governor,N/A,"2,70,968",94%,,,
Bob Lorinser,Male,White,,,No,No,Michigan,08-02-2022,Representative,1,"67,251",100%,,,
Jerry Hilliard,Male,White,,,No,No,Michigan,08-02-2022,Representative,2,"40,952",100%,,,
Hillary Scholten,Female,White,,,No,No,Michigan,08-02-2022,Representative,3,"59,661",100%,,,
Bart Goldberg,Male,White,,,No,No,Michigan,08-02-2022,Representative,5,"39,971",100%,,,
Debbie Dingell,Female,White,,,Yes,No,Michigan,08-02-2022,Representative,6,"1,02,859",100%,,,
Elissa Slotkin,Female,White,,,Yes,No,Michigan,08-02-2022,Representative,7,"77,826",100%,,,
Daniel T. Kildee,Male,White,,,Yes,No,Michigan,08-02-2022,Representative,8,"70,791",100%,,,
Brian Jaye,Male,White,,,No,No,Michigan,08-02-2022,Representative,9,"48,802",100%,,,
Huwaida Arraf,Female,Middle Eastern (Palestinian),,,No,No,Michigan,08-02-2022,Representative,10,"8,846",13%,,,
Carl J. Marlinga,Male,White,,,No,No,Michigan,08-02-2022,Representative,10,"32,653",48%,,,
Rhonda Powell,Female,Black,,,No,No,Michigan,08-02-2022,Representative,10,"11,396",17%,,,
Angela Rogensues,Female,White,,,No,No,Michigan,08-02-2022,Representative,10,"9,503",14%,,,
Henry Yanez,Male,Latino,,,No,No,Michigan,08-02-2022,Representative,10,"5,891",9%,,,
Andy Levin,Male,White,,,Yes,Yes,Michigan,08-02-2022,Representative,11,"47,117",40%,,,
Haley Stevens,Female,White,,,Yes,Yes,Michigan,08-02-2022,Representative,11,"70,508",60%,,,
Kelly Garrett,Male,Black,,,No,Yes,Michigan,08-02-2022,Representative,12,"8,334",9%,,,
Shanelle Jackson,Female,Black,,,No,Yes,Michigan,08-02-2022,Representative,12,"4,927",5%,,,
Rashida Tlaib,Female,Middle Eastern (Palestinian),,,Yes,No,Michigan,08-02-2022,Representative,12,"61,635",64%,,,
Janice Winfrey,Female,Black,,,No,Yes,Michigan,08-02-2022,Representative,12,"21,636",22%,,,
John Conyers,Male,Black,,,No,No,Michigan,08-02-2022,Representative,13,"6,778",9%,,,
Sherry Gay-Dagnogo,Female,Black,,,No,No,Michigan,08-02-2022,Representative,13,"6,440",8%,,,
Michael Griffie,Male,Black,,,No,No,Michigan,08-02-2022,Representative,13,"3,636",5%,,,
Adam Hollier,Male,Black,,,No,No,Michigan,08-02-2022,Representative,13,"18,517",23%,,,
Sharon McPhail,Female,Black,,,No,No,Michigan,08-02-2022,Representative,13,"5,043",6%,,,
Sam Riddle,Male,Black,,,No,No,Michigan,08-02-2022,Representative,13,"1,841",2%,,,
Portia Roberson,Female,Black,,,No,No,Michigan,08-02-2022,Representative,13,"13,318",17%,,,
Lorrie Rutledge,Female,Black,,,No,No,Michigan,08-02-2022,Representative,13,916,1%,,,
Shri Thanedar,Male,Asian (Indian),,,No,No,Michigan,08-02-2022,Representative,13,"22,314",28%,,,
Gretchen Whitmer,Female,White,,,Yes,No,Michigan,08-02-2022,Governor,N/A,"9,38,382",100%,,,
Lewis Rolen,Male,Black,,,No,No,Missouri,08-02-2022,Senator,N/A,"5,247",1%,,,
Gena Ross,Female,Black,,,No,No,Missouri,08-02-2022,Senator,N/A,"8,749",2%,,,
Carla Coffee Wright,Female,Black,,,No,No,Missouri,08-02-2022,Senator,N/A,"14,438",4%,,,
Josh Shipp,Male,Black,,,No,No,Missouri,08-02-2022,Senator,N/A,"3,334",1%,,,
Spencer Toder,Male,White,,,No,No,Missouri,08-02-2022,Senator,N/A,"17,465",5%,,,
Lucas Kunce,Male,White,,,No,No,Missouri,08-02-2022,Senator,N/A,"1,41,203",38%,,,
Jewel Kelly,Male,Black,,,No,No,Missouri,08-02-2022,Senator,N/A,"6,464",2%,,,
"Clarence ""Clay"" Taylor",Male,Black,,,No,No,Missouri,08-02-2022,Senator,N/A,"3,322",1%,,,
Pat Kelly,Male,White,,,No,No,Missouri,08-02-2022,Senator,N/A,"5,002",1%,,,
Trudy Busch Valentine,Female,White,,,No,No,Missouri,08-02-2022,Senator,N/A,"1,58,957",43%,,,
"Ronald ""Ron"" William Harris",Male,White,,,No,No,Missouri,08-02-2022,Senator,N/A,"4,074",1%,,,
Ron Harshaw,Male,Black,,,No,Yes,Missouri,08-02-2022,Representative,1,"1,065",1%,,,
Michael Daniels,Male,Black,,,No,Yes,Missouri,08-02-2022,Representative,1,"1,683",2%,,,
Cori Bush,Female,Black,,,Yes,No,Missouri,08-02-2022,Representative,1,"65,326",69%,,,
Earl Childress,Male,Black,,,No,Yes,Missouri,08-02-2022,Representative,1,929,1%,,,
Steve Roberts,Male,Black,,,No,Yes,Missouri,08-02-2022,Representative,1,"25,015",27%,,,
Trish Gunby,Female,White,,,No,No,Missouri,08-02-2022,Representative,2,"50,457",85%,,,
Ray Reed,Male,Black,,,No,No,Missouri,08-02-2022,Representative,2,"8,741",15%,,,
Jon Karlen,Male,White,,,No,No,Missouri,08-02-2022,Representative,3,"7,349",20%,,,
Bethany Mann,Female,White,,,No,No,Missouri,08-02-2022,Representative,3,"22,638",62%,,,
Andrew Daly,Male,White,,,No,No,Missouri,08-02-2022,Representative,3,"5,184",14%,,,
Dylan Durrwachter,Male,Unknown,,,No,No,Missouri,08-02-2022,Representative,3,"1,197",3%,,,
Jack Truman,Male,White,,,No,No,Missouri,08-02-2022,Representative,4,"25,641",100%,,,
Emanuel Cleaver II,Male,Black,,,Yes,No,Missouri,08-02-2022,Representative,5,"60,399",86%,,,
Maite Salazar,Female,Latino,,,No,Yes,Missouri,08-02-2022,Representative,5,"10,147",14%,,,
Henry Martin,Male,Black,,,No,No,Missouri,08-02-2022,Representative,6,"13,488",46%,,,
Charles West,Male,White,,,No,No,Missouri,08-02-2022,Representative,6,"9,761",33%,,,
Michael Howard,Male,Unknown,,,No,No,Missouri,08-02-2022,Representative,6,"5,959",20%,,,
John M. Woodman,Male,White,,,No,No,Missouri,08-02-2022,Representative,7,"5,493",25%,,,
Kristen Radaker-Sheafer,Female,White,,,No,No,Missouri,08-02-2022,Representative,7,"13,680",63%,,,
Bryce F. Lockwood,Male,White,,,No,No,Missouri,08-02-2022,Representative,7,"2,431",11%,,,
Randi McCallian,Female,White,,,No,No,Missouri,08-02-2022,Representative,8,"16,691",100%,,,
Mohammad Hassan Said,Male,Middle Eastern (Palestinian),,,No,Yes,Washington,08-02-2022,Senator,N/A,"13,995",1%,,,
Pano Churchill,Male,White,,,No,Yes,Washington,08-02-2022,Senator,N/A,"11,859",1%,,,
Sam Cusmir,Male,White,,,No,Yes,Washington,08-02-2022,Senator,N/A,"2,688",0%,,,
Bryan Solstin,Male,White,,,No,Yes,Washington,08-02-2022,Senator,N/A,"9,627",1%,,,
Patty Murray,Female,White,,,Yes,No,Washington,08-02-2022,Senator,N/A,"10,02,811",94%,,,
Ravin Pierre,Male,Black,,,No,Yes,Washington,08-02-2022,Senator,N/A,"22,172",2%,,,
